unique_id::uuid.UUID                 mass::numpy.float64 spin::numpy.float64  spin_angle::numpy.float64 orb_a::numpy.float64 orb_inc::numpy.float64 orb_ecc::numpy.float64 orb_ang_mom::numpy.float64 orb_arg_periapse::numpy.float64 migration_velocity::numpy.float64 parent_unique_id_1::uuid.UUID        parent_unique_id_2::uuid.UUID        gen::numpy.int64 gw_freq::numpy.float64 gw_strain::numpy.float64 mass_1::numpy.float64 orb_a_1::numpy.float64 spin_1::numpy.float64 spin_angle_1::numpy.float64 gen_1::numpy.int64 mass_2::numpy.float64 orb_a_2::numpy.float64 spin_2::numpy.float64 spin_angle_2::numpy.float64 gen_2::numpy.int64 bin_sep::numpy.float64 bin_ecc::numpy.float64 bin_orb_a::numpy.float64 bin_orb_ang_mom::numpy.float64 bin_orb_inc::numpy.float64 bin_orb_ecc::numpy.float64 time_to_merger_gw::numpy.float64 flag_merging::numpy.int64 time_merged::numpy.float64 
cc524987-89e8-4322-9f25-105c0f179549 11.062647065469418  0.19049371361481693  1.0154181178210568        24047.435325269333   0.0                    0.0                    0.0                        0.0                             0.0                               ea93b9c1-05f3-432e-99dc-24bf8ab6ca1b 52e543db-f137-4836-9f24-b46a77aef557 1                1.1221793748604826e-12 2.6683734935622223e-34   11.062647065469418    24047.435325269333     0.19049371361481693   1.0154181178210568          1                  10.4874774318012      24141.85584013167      0.3041225745271763    2.475469684315923           1                  4085.273247999842      0.009368781604190576   24093.385547916223       1.0                            6.01941682177164           0.011000000000000001       1.0711117070230424e+36           0                         0.0                       
2824b6ad-9471-4e07-a69b-605f3dafa27d 10.229002426314878  0.7514736460863818   0.0                       12815.71132908045    0.0                    0.0                    0.0                        0.0                             0.0                               bbb810e3-ca40-4b53-a870-e2739e3ede25 6f0c68b4-99f0-486a-85d4-f41dae12a692 2                4.1023464242153183e-10 2.5117034253813134e-31   10.229002426314878    12815.71132908045      0.7514736460863818    0.0                         2                  10.839666948817678    12862.900002038388     0.7631244312492873    0.0                         2                  79.30553853983699      0.015165619167459482   12839.989535241133       1.0                            3.715785328155098          0.011000000000000001       1.6264995479131162e+29           0                         0.0                       
08dc0664-082f-4b4a-a3b5-dd2c97eb4b7c 20.229931135710057  0.874231303466594    0.0                       21409.357603983466   0.0                    0.0                    0.0                        0.0                             0.0                               46868acf-4840-48bd-a39e-4318157a84f6 485dae4d-9c88-4690-8351-c240caf0be54 3                3.552125268166737e-11  3.6151062148694275e-32   20.229931135710057    21409.357603983466     0.874231303466594     0.0                         3                  16.482999113072065    21502.1913371447       0.7186405508278122    0.0                         2                  487.5960792759893      0.0967141700456732     21451.03715206069        1.0                            2.1331674946244954         0.011000000000000001       4.179153192925922e+31            0                         0.0                       
fb20f5ef-590a-4f1a-89a4-4e60f07a0dd2 32.77518516485358   0.07347323269118208  0.24972039657572015       19386.10533930108    0.0                    0.0                    0.0                        0.0                             0.0                               4e5ced2b-3f3b-42c5-bbdb-53129b203aa3 a4ef96b6-4b00-47dc-a4a0-32d949370013 1                9.761864437494182e-11  3.2250424652960575e-31   32.77518516485358     19386.10533930108      0.07347323269118208   0.24972039657572015         1                  34.07562411975773     19501.411027717393     0.1488309666443432    2.9953000000000003          1                  303.47744005441433     0.008748632740520634   19444.879695803127       1.0                            1.651003414504635          0.011000000000000001       1.0923759488377909e+30           0                         0.0                       
6b87377f-51fd-44e8-9fcd-df1abc176a49 11.094125173895664  0.06568519040924475  0.45418116503742445       16586.42089386978    0.0                    0.0                    0.0                        0.0                             0.0                               cac263e0-ab19-4f16-8deb-3920ce04f6a3 aaa84f45-6b13-4588-9325-980f2b54a914 1                3.1649244888420626e-10 3.065552299471394e-31    11.094125173895664    16586.42089386978      0.06568519040924475   0.45418116503742445         1                  18.487166244460685    16656.79607437339      0.6585200003426548    0.0                         2                  105.57056486267201     0.06322240529575397    16630.402667452756       1.0                            2.0675762834875155         0.011000000000000001       1.9188088251354538e+29           0                         0.0                       
1c63024e-db2b-4885-b9fe-1783be91f29d 21.480958867563746  0.08216990537294143  2.4651225100035483        8866.83418342884     0.0                    0.0                    0.0                        0.0                             0.0                               9813b927-fe6f-4adb-a341-04786a476a99 1d82edd6-bed0-4b80-bbc1-b9129d05aa0d 1                2.0996466954557047e-09 6.571962219907575e-30    21.480958867563746    8866.83418342884       0.08216990537294143   2.4651225100035483          1                  26.434335799349384    8911.405331675049      0.05201461225394141   2.0250460805240964          1                  35.116126896929686     0.11660305506525376    8891.42359079643         1.0                            0.3671481423297318         0.011000000000000001       4.9212177771770574e+26           0                         0.0                       
4341ff09-0ed9-4d87-b2b8-8616c1af9141 11.01288091525258   0.7096329882109921   0.0                       11732.817503052662   0.0                    0.0                    0.0                        0.0                             0.0                               fede3552-4ce0-4573-9950-ad0ec2a0e266 0ce48219-5efb-4ad5-8484-25e1f0f0ed16 2                8.12644828129514e-10   6.042867208393553e-31    11.01288091525258     11732.817503052662     0.7096329882109921    0.0                         2                  11.086387315673637    11781.048046175894     0.6922013092357356    0.0                         2                  51.086343325501886     0.595736170504223      11757.01298662805        1.0                            0.7186156083248205         0.011000000000000001       2.4606031824569092e+27           0                         0.0                       
50c76722-1d6b-40ee-839d-2d1cdd0faa4f 27.840809761466573  0.023677911578582143 1.0242691012483396        20647.80922294074    0.0                    0.0                    0.0                        0.0                             0.0                               ba093092-546e-48f5-a08e-bd9530982b82 381bd325-d92c-4e5f-95a0-25ee2e73c81b 1                8.927130753258744e-10  3.306369642116608e-30    27.840809761466573    20647.80922294074      0.023677911578582143  1.0242691012483396          1                  29.558366543861972    20712.5276569948       0.03794884398746548   0.5191682069927385          1                  65.95888821361548      0.2435457606132867     20681.136725512184       1.0                            0.14320950722456494        0.011000000000000001       2.633462215903818e+27            0                         0.0                       
63e75509-3e51-413e-8d6b-bf911f7adc41 12.172629114640467  0.6628894420305655   0.0                       14416.490554283278   0.0                    0.0                    0.0                        0.0                             0.0                               fdcfd030-a08e-4d5e-9e80-5282f574d02e ed308565-333d-4bb4-9db0-530757b05edc 2                8.373518561393319e-10  2.1701782617966747e-30   12.172629114640467    14416.490554283278     0.6628894420305655    0.0                         2                  48.782083208985384    14484.78189887463      0.8848634648542537    0.0                         3                  70.2279202967271       0.33085879899935244    14471.144147538242       1.0                            0.17810701736696632        0.011000000000000001       3.2212200893573354e+27           0                         0.0                       
33f1c6ea-85c7-4b1e-a815-5bb7c39c1fde 37.69607689552729   0.8199244886435525   0.0                       15889.75053398507    0.0                    0.0                    0.0                        0.0                             0.0                               68f67ce6-0794-431e-a330-0c357997de5c 8a940c93-44d7-47e8-996e-e93729af1477 3                5.446989662847849e-10  4.164660350586716e-30    37.69607689552729     15889.75053398507      0.8199244886435525    0.0                         3                  58.02964059716243     15994.130135549034     0.5603411776239097    0.0                         2                  108.7304569417244      0.8759793028094234     15953.026223351351       1.0                            0.053978325605531036       0.011000000000000001       1.0954036291412801e+25           0                         0.0                       
